Title	URL	Assignees	Status	Estimated size	Real size
Orchestrator | FIFO scheduling	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/37		Product Backlog		
Orchestrator | Query worker pool	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/38		Product Backlog		
EMBArk worker UI | Show job id in worker nodes table	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/39		Product Backlog		
UI | Update/Reset worker node	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/42		Product Backlog		
Update worker nodes	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/45		Product Backlog		
EMBArk collects results from worker nodes	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/46		Product Backlog		
Orchestrator | Abort running firmware analyses	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/41		Product Backlog		
Soft reset worker node	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/43		Product Backlog		
Hard reset worker node	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/44		Product Backlog		
Periodic worker information fetch	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/47		Product Backlog		
Query worker node information	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/40	LukaDeka	Sprint Backlog	2	
Caching in Github actions pipeline	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/33	LukaDeka	In Progress	2	
Connect to worker node	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/15	ashiven	Awaiting Review	2	
EMBArk worker UI	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/30	ashiven	Awaiting Review	3	
Prepare upstream pull request	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/32	ClProsser	Awaiting Review	2	
Orchestrator | Receive new workers	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/31	SirGankalot	Awaiting Review	3	
Configure worker node	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/18	ClProsser	Awaiting Review	2	
API | Documentation tooling	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/22	ClProsser	Feature Archive	1	1
Mount file system via SSHfs in Python	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/16	SirGankalot	Feature Archive	2	2
API | Document API-Key generation	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/25	ashiven	Feature Archive	1	1
API | Integration test API-Key generation	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/28	ashiven	Feature Archive	2	2
API | Generate API-Key in user interface	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/4	ashiven, LukaDeka	Feature Archive	3	3
EMBA offline worker configuration	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/12	ClProsser, SirGankalot	Feature Archive	3	5
API | Upload firmware and add to queue	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/5	ClProsser, SirGankalot	Feature Archive	3	3
Configuration scripts for worker node | Kali Linux latest	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/19	ClProsser, SirGankalot	Feature Archive	3	5
API | Familiarize with API	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/10	ashiven, ClProsser, LukaDeka, SirGankalot	Feature Archive	2	
Configuration scripts for worker node | Ubuntu	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/21	ClProsser, SirGankalot	Feature Archive	3	5
Run example firmware analysis	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/13	ashiven, ClProsser, LukaDeka, SirGankalot	Feature Archive	2	
Reduce check_project.sh execution time	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/34	ClProsser	Feature Archive	1	2
Integration testing	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/23	ClProsser	Feature Archive	2	2
API | Documentation Upload firmware	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/24	ClProsser	Feature Archive	1	1
API | Get status report	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/6	LukaDeka	Feature Archive	3	5
API | Documentation Status report	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/26	LukaDeka	Feature Archive	1	1
API | Integration test Upload firmware	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/27	ClProsser, SirGankalot	Feature Archive	2	2
Configure worker nodes in EMBArk	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/14	ashiven	Feature Archive	3	3
API | Integration test Status report	https://github.com/amosproj/amos2025ss01-embark-orchestration-framework/issues/29	LukaDeka	Feature Archive	2	2
